level_0,index,Category_L1,Category_L2,Category_L3,Category_L4,Category_L4_includefeed,Category_L0,Material_Group,Material,Material_Description,Text,Vendor_Country,Vendor_Name,Vendor_Code,Vendor_City,Vendor_Latitude,Vendor_Longitude,Plant_Country,Plant_Code,Plant_Name,Base_Unit_of_Measure,Converted_units,Fiscal_Year,Quantity,Product_weight_in_tonnes,Municipality,Conversion_name,Conversion_factor,Category_L4_LCA,LCA_match,LCA_match_animal_husbandry,Locally_sourced_update,Fabio_source_commodity,Harvest_Country,Converted crop weight (tonnes),unique_id_x,Global Warming Potential (kg CO2-Eq),Air Pollution (kg PM2.5-Eq),Land Use (m2),Water Pollution (kg P eq),Land Transformation (m2),Soil Pollution (kg SO2 eq),Water Use (m3)
0,0,Raw Materials,Raw Materials & Liquid,Sugar & Sweeteners,Molasses,,Raw materials,MOLASSES (112L),3301000424,BI HighTest Molasses - SHT,BI HighTest Molasses - SHT,US,ED AND F MAN LIQUID PRODUCTS (ERS),1000081288,NEW ORLEANS,29.951423,-90.065557,VI,SX1,St Croix Distillery,Kg,Kg,F22,22085084,22085.084,N/A,Sugar cane  TO Sugar cane juice,2.85,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,Yes,N/A,Guatemala,62942.4894,"Sugar cane, at farm/GT Economic",5601980.019,3620.854508,10940597.49,3205.752252,2653375.142,10827.42399,452149.8895
1,1,Raw Materials,Raw Materials & Liquid,Sugar & Sweeteners,Molasses,,Raw materials,MOLASSES (112L),3301000424,BI HighTest Molasses - SHT,BI HighTest Molasses - SHT,US,ED AND F MAN LIQUID PRODUCTS (ERS),1000081288,NEW ORLEANS,29.951423,-90.065557,VI,SX1,St Croix Distillery,Kg,Kg,F22,22085084,22085.084,N/A,Sugar cane  TO Sugar cane juice,2.85,Sugarcane,"Sugar cane, at farm/DO Economic",N/A,Yes,N/A,Dominican Republic,62942.4894,"Sugar cane, at farm/DO Economic",5601980.019,3620.854508,10940597.49,3205.752252,2653375.142,10827.42399,452149.8895
2,2,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053000,BA Unbranded Rum   0 Y 94.40% UN DIST,BA Unbranded Rum   0 Y 94.40% UN DIST,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,431401.5,370.698,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guyana,1586.035104,"Sugar cane, at farm/GT Economic",141159.6053,91.23888188,275682.9582,80.7790676,66860.17917,272.831194,11393.34659
3,3,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053900,BD GUY COL STILL RUM  UMS,BD GUY COL STILL RUM  UMS,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,155335.8,133.479,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guyana,571.087564,"Sugar cane, at farm/GT Economic",50827.68656,32.85260878,99265.84135,29.08631771,24074.50929,98.23899959,4102.430352
4,4,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053400,BD GUY COL RUM COLRD  SV,BD GUY COL RUM COLRD  SV,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,24344.7,20.919,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guyana,89.50258355,"Sugar cane, at farm/GT Economic",7965.869947,5.148760975,15557.24519,4.558496359,3773.030469,15.39631542,642.945388
5,5,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053700,BD GUY COL RUM UNCLRD  SVW,BD GUY COL RUM UNCLRD  SVW,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,20576.1,17.682,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guyana,75.64743494,"Sugar cane, at farm/GT Economic",6732.740047,4.351724223,13148.9578,3.85283355,3188.959085,13.01294022,543.4163739
6,6,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053000,BA Unbranded Rum   0 Y 94.40% UN DIST,BA Unbranded Rum   0 Y 94.40% UN DIST,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,226485.7875,194.61645,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/MX Economic",N/A,No,N/A,Mexico,832.6684297,"Sugar cane, at farm/MX Economic",54525.0011,80.93537136,115888.6107,35.56949699,12.1143013,168.1089197,8776.005063
7,7,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053900,BD GUY COL STILL RUM  UMS,BD GUY COL STILL RUM  UMS,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,81551.295,70.076475,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/MX Economic",N/A,No,N/A,Mexico,299.8209711,"Sugar cane, at farm/MX Economic",19632.95136,29.14259839,41728.29731,12.80759634,4.362026289,60.53139253,3159.997745
8,8,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053400,BD GUY COL RUM COLRD  SV,BD GUY COL RUM COLRD  SV,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,12780.9675,10.982475,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/MX Economic",N/A,No,N/A,Mexico,46.98885637,"Sugar cane, at farm/MX Economic",3076.935973,4.567316839,6539.785932,2.007245532,0.6836300544,9.486664322,495.2444775
9,9,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053700,BD GUY COL RUM UNCLRD  SVW,BD GUY COL RUM UNCLRD  SVW,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,10802.4525,9.28305,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/MX Economic",N/A,No,N/A,Mexico,39.71490335,"Sugar cane, at farm/MX Economic",2600.621173,3.860288605,5527.416206,1.696520589,0.5778029864,8.018112926,418.5798097
